序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
279,BEAN,憨豆先生的大灾难,喜剧,环绕声，多声道,1:24:55,1997,英国
280,Hanna,汉娜,动作,立体声,1:44:57,2011,美国
281,Hannah Montana: The Movie,汉娜·蒙塔娜,音乐,,2:00:00,2009,美国
282,HANNIBAL,汉尼拔,惊悚,环绕声，多声道,2:02:43,2001,美国
283,Excess Baggage,行李超载,喜剧,立体声,1:34:00,1997,美国
284,The Big Hit,好胆别走,喜剧,立体声,1:25:05,1998,美国
285,Yes Man,好好先生,爱情,,2:00:00,2008,美国/澳大利亚
286,Hollywood Homicide,好莱坞重案组,悬疑,立体声,1:55:55,2003,美国
287,The Good Guy,好男孩,爱情,,2:00:00,2010,美国
288,CURIOUS GEORGE,好奇的乔治,动画,环绕声，多声道,1:23:11,2006,美国
289,A Few Good Men,好人寥寥,剧情,立体声,2:09:28,1992,美国
290,SWEPT AWAY (2002),浩劫妙冤家,爱情,立体声,1:25:31,2002,美国
291,LAKEVIEW TERRACE,合法入侵,惊悚,环绕声，多声道,1:45:56,2008,美国
292,Excalibur,黑暗时代,奇幻,立体声,2:13:59,1981,美国
293,Dark Country,黑暗乡村,惊悚,立体声,1:27:22,2009,美国
294,BLACK DAWN,黑暗坠落,动作,立体声,1:35:46,2005,美国
295,EMPIRE,黑金帝国,罪案,环绕声，多声道,1:34:52,2002,美国
296,The Matrix,黑客帝国1,科幻,立体声,2:16:09,1999,美国
297,The Matrix Reloaded,黑客帝国2,科幻,立体声,2:18:07,2003,美国
298,The Matrix Revolutions,黑客帝国3,科幻,立体声,2:09:07,2003,美国
299,The Hit List,黑名单,动作,立体声,1:30:04,2011,美国
300,"FINAL CURTAIN, THE",黑幕风云,剧情,环绕声，多声道,1:17:04,2002,美国
301,NEW BEST FRIEND,黑色姐妹帮,悬疑,环绕声，多声道,1:22:13,2002,美国
302,UNDERWORLD EVOLUTION,黑夜传说2:进化,奇幻,环绕声，多声道,1:44:54,2006,美国
303,UNDERWORLD: RISE OF THE LYCANS.,黑夜传说3:狼族再起,奇幻,环绕声，多声道,1:32:17,2009,美国
304,UNDERWORLD AWAKENING,黑夜传说4,奇幻,环绕声，多声道,1:24:27,2012,美国
305,Men In Black II,黑衣人2,科幻,立体声,1:18:00,2002,美国
306,MEN IN BLACK 3,黑衣人3,科幻,环绕声，多声道,1:38:55,2012,美国
307,BLACK HAWK DOWN,黑鹰降落,战争,环绕声，多声道,2:12:55,2003,美国
308,Dark Shadows,黑影,奇幻,环绕声，多声道,1:52:59,2012,美国
309,Crimson Tide,红潮风暴,动作,,2:00:00,1995,美国
310,RED DRAGON,红龙,惊悚,立体声,1:56:58,2002,美国
311,Red Eye,红眼航班,惊悚,,2:00:00,2005,美国
312,The Scarlet Letter,红字,剧情,立体声,2:11:34,1995,美国
313,,虹猫蓝兔火凤凰,动画,立体声,1:28:25,2010,中国大陆
314,J. Edgar,胡佛,传记,立体声,1:56:20,2012,美国
315,Get Smart,糊涂侦探,罪案,,2:00:00,2008,美国
316,TWO BROTHERS,虎兄虎弟,剧情,环绕声，多声道,1:40:36,2004,英国
317,THE CHANGE-UP (2011),互换身体,喜剧,立体声,1:33:56,2011,美国
318,FUNNY PEOPLE,滑稽人物,喜剧,环绕声，多声道,2:19:51,2009,美国
319,BURLESQUE,滑稽戏,歌舞,立体声,1:56:36,2010,美国
320,BAD TEACHER,坏老师,爱情,立体声,1:28:00,2011,美国
321,WELCOME HOME ROSCOE JENKINS,欢迎回家，罗斯科·杰金斯,喜剧,环绕声，多声道,1:49:01,2008,美国
322,Pacific Rim,环太平洋,科幻,环绕声，多声道,2:11:01,2013,美国
323,Imagine That,幻想之地,喜剧,,2:00:00,2009,美国
324,The Apparition,幻影,惊悚,环绕声，多声道,1:33:22,2012,美国
325,LAST ACTION HERO,幻影英雄,动作,环绕声，多声道,2:10:43,1993,美国
326,CHANGELING ('08),换子疑云,悬疑,环绕声，多声道,2:15:17,2008,美国
327,The Golden Compass,黄金罗盘,奇幻,,2:00:00,2007,美国
328,The Invention of Lying,慌言的诞生,喜剧,环绕声，多声道,1:35:37,2009,美国
329,Body of Lies,慌言之躯,动作,,2:00:00,2008,美国
330,A Cinderella Story: Once Upon a Song,灰姑娘的故事3,爱情,环绕声，多声道,1:28:09,2011,美国
331,Another Cinderella Story,灰姑娘之舞动奇迹,歌舞,,2:00:00,2008,美国/加拿大
332,BACK TO THE FUTURE,回到未来,科幻,立体声,1:51:13,1985,美国
333,BACK TO THE FUTURE II,回到未来2,科幻,立体声,1:43:34,1989,美国
334,BACK TO THE FUTURE III,回到未来3,科幻,立体声,1:53:24,1990,美国
335,"RETURN, THE",回魂,恐怖,环绕声，多声道,1:15:43,2006,美国
336,DOOM,毁灭战士,科幻,立体声,1:38:28,2005,美国
337,JUMPING THE BROOM,婚礼大斗阵,喜剧,立体声,1:51:28,2011,美国
338,Margot at the Wedding,婚礼上的玛戈特,剧情,,2:00:00,2007,美国
339,Bruce and Lloyd Out of Control,混乱神探,喜剧,,2:00:00,2008,美国
340,Reign of Fire,火龙帝国,动作,,2:00:00,2002,英国/美国
341,IN THE LINE OF FIRE,火线狙击,剧情,立体声,2:08:17,1993,美国
342,Mars Baby,火星没事,喜剧,立体声,1:36:54,2009,中国大陆
343,Mission to Mars,火星任务,科幻,,2:00:00,2000,美国
344,The Hobbit An Unexpected Journey,霍比特人：意外旅程,奇幻,环绕声，多声道,2:49:32,,美国
345,Hook,霍克船长,冒险,立体声,2:11:15,1991,美国
346,Bicentennial Man,机器管家,科幻,立体声,1:59:45,1999,美国
347,9,机器人9号,科幻,环绕声，多声道,1:16:00,2009,美国
348,LEGION (2010),基督再临,惊悚,立体声,1:40:15,2010,美国
349,Deliverance,激流四勇士,冒险,立体声,1:44:16,1972,美国
350,I WANT YOU,激情意外,罪案,环绕声，多声道,1:15:54,1998,美国
351,Rent (2005),吉屋出租,剧情,环绕声，多声道,2:13:06,2005,美国
352,The Polar Express,极地特快,奇幻,立体声,1:35:23,2004,美国
353,Deep Rising,极度深寒,科幻,,2:00:00,1998,美国
354,Gone in 60 Seconds,极速60秒,动作,,2:00:00,2000,美国
355,ROLLERBALL (2002),极速风暴,科幻,环绕声，多声道,1:32:47,2002,美国
356,Speed Racer,极速赛车手,运动,,2:00:00,2008,美国
357,xXx,极限特工,动作,立体声,1:52:35,2002,美国
358,XXX: STATE OF THE UNION,极限特工2,动作,立体声,1:40:53,2005,美国
359,Set Off,即日启程,喜剧,立体声,1:35:51,2008,中国大陆
360,ALMOST FAMOUS,几近成名,剧情,立体声,2:02:54,2001,美国
361,"STEPFATHER, THE (2009)",继父,惊悚,立体声,1:41:19,2009,美国
362,STEPMOM,继母,剧情,环绕声，多声道,2:04:54,1998,美国
363,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盜1:黑珍珠号的,奇幻,,2:00:00,2003,美国
364,Pirates of the Caribbean: Dead Man's Chest,加勒比海盗2:聚魂棺,奇幻,,2:00:00,2006,美国
365,Pirates of the Caribbean: At World's End,加勒比海盜3:世界的尽头,奇幻,,2:00:00,2007,美国
366,We are Marshal1,加油马歇尔,剧情,立体声,2:05:55,2006,美国
367,House Party: Tonight's the Night,家庭派对：就在今夜,喜剧,环绕声，多声道,1:34:34,2013,美国
368,Jack,家有杰克,喜剧,,2:00:00,1996,美国
369,BEWITCHED (2005),家有仙妻,奇幻,环绕声，多声道,1:41:54,2005,美国
370,LAYER CAKE,夹心蛋糕,罪案,立体声,1:39:30,2005,美国
371,The Proposal,假结婚,爱情,,2:00:00,2009,美国
372,Rush Hour 3,尖峰时刻3,动作,,2:00:00,2007,美国
373,A Mighty Heart,坚强的心,动作,,2:00:00,2007,美国/英国
374,INSIDE JOB (2010),监守自盗,纪录,立体声,1:32:03,2010,美国
375,Pariah,贱民,剧情,环绕声，多声道,1:23:49,2011,美国
376,Sword Fish,剑鱼行动,动作,立体声,1:35:01,2001,美国
377,GLADIATOR,角斗士,动作,环绕声，多声道,2:24:28,2000,美国
378,The Cunning Little Vixen,狡猾的小狐狸,动画,立体声,0:57:49,2003,英国
379,STOMP THE YARD: HOMECOMING,街舞少年:回家,歌舞,立体声,1:27:35,2010,美国
380,TAKERS (2010),劫匪,罪案,立体声,1:46:51,2010,美国
381,JACK AND JILL,杰克与吉尔,喜剧,环绕声，多声道,1:26:14,2011,美国
382,JESSE STONE: NO REMORSE,杰西警探：无悔追踪,罪案,立体声,1:25:24,2010,美国
383,License to Wed,结婚证书,爱情,立体声,1:27:34,2007,美国
384,My Sister's Keeper,姐姐的守护者,剧情,,2:00:00,2009,美国
385,Alien Autopsy,解剖外星人,科幻,,2:00:00,2006,德国/英国
386,THIS CHRISTMAS,今年圣诞节,剧情,立体声,1:58:49,2007,美国
387,TAKE ME HOME TONIGHT,今晚帯我回家,喜剧,立体声,1:31:57,2011,美国
388,KING KONG  ('05),金刚,奇幻,环绕声，多声道,2:59:36,2005,美国
389,I SPY,金牌间谍,悬疑,立体声,1:36:11,2002,美国
390,"PRODUCERS, THE (2005)",金牌制作人,喜剧,环绕声，多声道,1:48:21,2005,美国
391,ON GOLDEN POND,金色池塘,剧情,立体声,1:44:40,1981,美国
392,AS GOOD AS IT GETS,尽善尽美,剧情,立体声,2:17:59,1997,美国
393,EVOLUTION (2001),进化危机,科幻,立体声,1:41:22,2001,美国
394,CONTRABAND,禁运品,罪案,环绕声，多声道,1:46:26,2012,美国
395,THURSDAY,惊爆星期四,罪案,环绕声，多声道,1:15:27,1998,美国
396,30 MINUTES OR LESS,惊魂半小时,惊悚,环绕声，多声道,1:17:04,2011,美国
397,The Insider,惊曝内幕,传记,,2:00:00,1999,美国
398,Wild Hogs,惊骑之旅,冒险,,2:00:00,2007,美国
399,BRAM STOKER'S DRACULA,惊情四百年,惊悚,环绕声，多声道,2:02:45,1992,美国
400,The Guardian,惊涛大冒险,动作,,2:00:00,2006,美国
401,"RIVER WILD, THE",惊涛骇浪,冒险,环绕声，多声道,1:46:44,1994,美国
402,STUART LITTLE,精灵鼠小弟,奇幻,立体声,1:24:26,1999,美国
403,STUART LITTLE 2,精灵鼠小弟2,奇幻,立体声,1:17:33,2002,美国
404,STUART LITTLE 3: CALL OF THE WILD,精灵鼠小弟3,奇幻,立体声,1:15:13,2006,美国
405,Bullitt,警网铁金刚,动作,立体声,1:49:01,1968,美国
406,The Guilt Trip,纠结之旅,喜剧,,2:00:00,2012,美国
407,HALF PAST DEAD,九死一生,动作,立体声,1:34:17,2002,美国
408,This Is It,就是这样,纪录片,立体声,1:51:06,2009,美国
409,SNIPER: RELOADED,狙击精英：重装上阵,战争,立体声,1:28:47,2011,美国
410,D-TOX,狙击杀手,动作,环绕声，多声道,1:31:45,2002,美国
411,The Foreigner,狙击速递,动作,立体声,1:35:49,2003,美国
412,"JACKAL, THE",狙击职业杀手,动作,环绕声，多声道,1:56:46,1997,美国
413,Jack the Giant Slayer,巨人捕手杰克,奇幻,环绕声，多声道,1:54:05,2013,美国
414,Mighty Joe Young,巨猩乔扬,惊悚,,2:00:00,1998,美国
415,The Hurricane,飓风,运动,,2:00:00,1999,美国
416,North Country,决不让步,剧情,,2:00:00,2005,美国
417,Erin Brockovich,决不妥协,剧情,立体声,2:01:10,2000,美国
418,21 (2008),决胜21点,剧情,环绕声，多声道,1:57:37,2008,美国
419,MARIE ANTOINETTE,绝代艳后,剧情,立体声,2:02:45,2006,美国
420,BAD BOYS (1995),绝地战警,动作,环绕声，多声道,1:53:37,1995,美国
421,Bad Boys II,绝地战警2,动作,立体声,2:15:45,2003,美国
422,POPULATION 436,绝命人口436,惊悚,立体声,1:28:22,2006,美国
423,Casablanca,卡萨布兰卡,爱情,立体声,1:38:20,1942,美国
424,Frankenweenie,科学怪狗,动画,,2:00:00,2012,美国
425,Horrible Bosses,可恶的老板,喜剧,立体声,1:44:10,2011,美国
426,Kramer vs. Kramer,克莱默夫妇,剧情,立体声,1:43:55,1979,美国
427,"CLIENT LIST, THE",客户名单,剧情,立体声,1:26:58,2010,美国
428,Air Force One,空军一号,动作,,2:00:00,1997,美国/德国
429,Con Air,空中监狱,动作,,2:00:00,1997,美国
430,CAPE FEAR ('91),恐怖角,罪案,环绕声，多声道,2:02:09,1991,美国
431,The Frighteners,恐怖幽灵,恐怖,环绕声，多声道,1:44:54,1996,美国
432,"LIMITS OF CONTROL, THE",控制的极限,罪案,环绕声，多声道,1:38:55,2009,美国
433,DUPLICITY,口是心非,罪案,环绕声，多声道,1:56:11,2009,美国
434,That Darn Cat,酷猫妙探,家庭,,2:00:00,1997,美国
435,Happy Feet,快乐的大脚,动画,立体声,1:48:18,2006,美国
436,Happy Feet Two,快乐的大脚2,动画,立体声,1:32:52,2011,美国
437,Joyful Noise,快乐的噪音,喜剧,环绕声，多声道,1:57:41,2012,美国
438,ANACONDA,狂蟒之灾,惊悚,环绕声，多声道,1:25:38,1997,美国
439,ANACONDAS: TRAIL OF BLOOD,狂蟒之灾4,惊悚,立体声,1:24:55,2009,美国
440,The Fan,狂迷,惊悚,立体声,1:47:00,1996,美国
441,BEING JOHN MALKOVICH,愧儡人生,喜剧,环绕声，多声道,1:46:47,1999,美国
442,Freaky Friday,辣妈辣妹,奇幻,,2:00:00,2003,美国
443,MAN OF THE HOUSE (2005),辣妹保镖,喜剧,环绕声，多声道,1:35:45,2005,美国
444,WHEN A STRANGER CALLS (2006),来电惊魂,恐怖,立体声,1:32:22,2006,美国
445,Failure to Launch,赖家王老五,喜剧,,2:00:00,2006,美国
446,Rango,兰戈,动画,,2:00:00,2011,美国
447,The Smurfs,蓝精灵,动画,立体声,1:37:48,2011,美国
448,BLUE CRUSH,蓝色激情,运动,环绕声，多声道,1:39:53,2002,美国
449,"WOLFMAN, THE",狼人,恐怖,环绕声，多声道,1:37:59,2010,美国
450,"TALE OF DESPEREAUX, THE",浪漫的老鼠,动画,环绕声，多声道,1:29:35,2008,美国
451,DADDY DAY CAMP,老爸夏令营,喜剧,立体声,1:26:46,2007,美国
452,big daddy,老爸向前沖,喜剧,立体声,1:29:05,1999,美国
453,Dr. Seuss’ The Lorax,老雷斯的故事,动画,环绕声，多声道,1:26:08,2012,美国
454,No Country for Old Men,老无所依,罪案,,2:00:00,2007,美国
455,Gran Torino,老爷车,罪案,,2:00:00,2008,美国/澳大利亚
456,LEGO: The Batman Movie,乐高：蝙蝠侠电影,动画,环绕声，多声道,1:10:40,2013,美国
457,The Great Gatsby,了不起的盖茨比,爱情,环绕声，多声道,2:22:02,2013,美国
458,Thor,雷神,科幻,,2:00:00,2011,美国
459,Thunderstruck,雷霆万钧,运动,环绕声，多声道,1:32:41,2012,美国
460,Cold Mountain,冷山,战争,,2:00:00,2003,美国
461,dragon： BRUCE LEE STORY,李小龙传,传记,环绕声，多声道,1:54:36,1993,美国
462,SENSE AND SENSIBILITY,理智与情感,剧情,环绕声，多声道,2:16:12,1995,美国
463,TWO FOR THE MONEY,利欲两心,剧情,立体声,1:57:09,2005,美国
464,The Lizzie McGuire Movie,莉琪的异想世界,冒险,,2:00:00,2003,美国
465,HOW TO MAKE AN AMERICAN QUILT,恋爱编织梦,剧情,环绕声，多声道,1:50:26,1995,美国
466,"HOLIDAY, THE",恋爱假期,爱情,环绕声，多声道,2:09:40,2006,美国
467,Ladder 49,烈火雄心,罪案,,2:00:00,2004,美国
468,Hellboy II: The Golden Army,烈焰奇侠：黄金军团,奇幻,环绕声，多声道,1:54:21,2008,美国
469,Bad Company,临时特工,动作,,2:00:00,2002,美国/捷克
470,A Thousand Words,临终千言,喜剧,,2:00:00,2012,美国
471,COLD CREEK MANOR,凛冽庄园,惊悚,立体声,1:49:24,2003,美国
472,SOUL SURFER,灵魂冲浪,运动,立体声,1:42:03,2011,美国
473,RAY,灵魂歌王,剧情,环绕声，多声道,2:20:54,2004,美国
474,GHOST RIDER,灵魂战车,奇幻,立体声,1:50:01,2007,美国
475,"FORGOTTEN, THE",灵异拼图,惊悚,立体声,1:31:02,2004,美国
476,CEMETERY JUNCTION,陵园路口,剧情,立体声,1:34:36,2010,美国
477,SUSPECT ZERO,零号嫌疑犯,罪案,立体声,1:39:20,2004,美国
478,The Other Boleyn Girl,另一个波琳家的女孩,剧情,环绕声，多声道,1:49:27,2008,美国
479,Raising Helen,流行教母,剧情,,2:00:00,2004,美国
480,Rumor Has It,流言蜚语,喜剧,立体声,1:32:38,2005,美国
481,Six Days Seven Nights,六天七夜,动作,,2:00:00,1998,美国
482,21 JUMP STREET,龙虎少年队,喜剧,立体声,1:45:04,2012,美国
483,Twister,龙卷风,动作,,2:00:00,1996,美国
484,The Girl with the Dragon Tattoo,龙纹身的女孩(2011),罪案,环绕声，多声道,2:28:54,2011,美国
485,ACCEPTED,录取通知,喜剧,环绕声，多声道,1:29:08,2006,美国
486,Gone with the Wind,乱世佳人,爱情,立体声,3:31:41,1939,美国
487,84 CHARING CROSS ROAD,伦敦査林十字街84号,剧情,立体声,1:36:13,1987,美国
488,ROBIN HOOD,罗宾汉,动作,环绕声，多声道,2:14:32,2010,美国
489,balllelosaiigeles,洛杉矶之战,科幻,立体声,1:55:38,2011,美国
490,SNOW FALLING ON CEDARS,落在香杉树的雪花,剧情,环绕声，多声道,2:01:50,1999,美国
491,Green Lantern,绿灯侠,科幻,环绕声，多声道,1:53:44,2011,美国
492,Green Lantern: Emera]d Knights,绿灯侠：翡翠骑士,奇幻,环绕声，多声道,1:23:36,2011,美国
493,"HULK, THE",绿巨人,科幻,环绕声，多声道,2:12:24,2003,美国
494,Green Card,绿卡,爱情,,2:00:00,1990,法国/美国
495,GREEN ZONE,绿色地带,动作,环绕声，多声道,1:50:18,2010,美国
496,"GREEN MILE, THE",绿色奇迹,剧情,环绕声，多声道,2:57:00,1999,美国
497,MAMMA MIA!,妈妈咪呀,喜剧,环绕声，多声道,1:44:04,2008,美国
498,Madagascar,马达加斯加,动画,,2:00:00,2005,美国
499,Madagascar: Escape 2 Africa,马达加斯加2:逃往非洲,动画,,2:00:00,2008,美国
500,Marvin's Room,马文的房间,剧情,,2:00:00,1996,美国
501,The Horse Whisperer,马语者,爱情,,2:00:00,1998,美国
502,Matilda,玛蒂尔达,剧情,立体声,1:30:00,1996,美国
503,MARY SHELLEY'S FRANKENSTEIN,玛丽·雪莱的弗兰肯斯坦,科幻,环绕声，多声道,1:51:08,1994,美国
504,Miami Vice,迈阿密风云,罪案,环绕声，多声道,2:04:27,2006,美国
505,TRAGEDY OF MACBETH,麦克白,剧情,立体声,2:19:10,1971,美国
506,Maid in Manhattan,曼哈顿灰姑娘,爱情,立体声,1:45:09,2002,美国
507,Manhattan murder mystery,曼哈顿神秘谋杀案,罪案,立体声,1:41:20,1993,美国
508,wanderlust,漫游,喜剧,环绕声，多声道,1:31:23,2012,美国
509,Cats & Dogs: The Revenge of Kitty Galore,猫狗大战2,家庭,,2:00:00,2010,美国
510,Tom and Jerry - The Fast and the Furry,猫和老鼠：飙风天王,动画,立体声,1:13:53,2005,美国
511,Tom and Jerry's Giant Adventure,猫和老鼠：巨人大冒险,动画,环绕声，多声道,0:57:02,2013,美国
512,Tom and Jerry: Robin Hood & Merry Mouse,猫和老鼠：罗宾汉和他的精灵鼠,动画,环绕声，多声道,0:57:29,2012,美国
513,Tom & Jerry & The Wizard of Oz,猫和老鼠：绿野神踪,动画,立体声,0:59:02,2011,美国
514,Catwoman,猫女,奇幻,立体声,1:39:47,2004,美国
515,Legend of the Guardians,猫头鹰王国：守卫者传奇,动画,立体声,1:35:42,2010,美国
516,We're the Millers,冒牌家庭,,环绕声，多声道,1:49:41,2013,美国
517,Evan Almighty,冒牌天神2,奇幻,环绕声，多声道,1:31:42,2007,美国
518,Captain America: The First Avenger,美国队长,科幻,,2:00:00,2011,美国
519,American Gangster,美国黑帮,罪案,环绕声，多声道,2:46:54,2007,美国
520,AMERICAN POP,美国流行,动画,立体声,1:35:40,1981,美国
521,AMERICAN DREAMZ,美国梦,喜剧,环绕声，多声道,1:42:42,2006,美国
522,Kit Kittredge: An American Girl,美国女孩的秘密,家庭,,2:00:00,2008,美国
523,AMERICAN PIE 2,美国派2,喜剧,环绕声，多声道,1:24:36,2001,美国
524,AMERICAN WEDDING,美国派3:美国婚礼,喜剧,环绕声，多声道,1:30:13,2003,美国
525,American Reunion,美国派4:美国重逢,喜剧,环绕声，多声道,1:49:11,2012,美国
526,America's Sweethearts,美国甜心,爱情,立体声,1:34:45,2001,美国
527,Life is Beautiful (La vita è bella),美丽人生,喜剧,,2:00:00,1998,意大利
528,WHAT DREAMS MAY COME,美梦成真,剧情,环绕声，多声道,1:48:51,1998,美国
529,Splash,美人鱼,爱情,,2:00:00,1984,美国
530,Sucker Punch,美少女特攻队,奇幻,立体声,2:07:09,2011,美国
531,EAT PRAY LOVE,美食、祈祷和恋爱,爱情,立体声,2:19:13,2010,美国
532,CLOUDY WITH A CHANCE OF MEATBALLS,美食从天而降,动画,立体声,1:29:24,2009,美国
533,No Reservations,美味情缘,爱情,,2:00:00,2007,澳大利亚/美国
534,MONA LISA SMILE,蒙娜丽莎的微笑,剧情,立体声,1:59:17,2003,美国
535,My Soul to Take,猛鬼生日宴,惊悚,环绕声，多声道,1:42:09,2010,美国
536,I Dreamed of Africa,梦回非洲,剧情,立体声,1:49:30,2000,美国
537,"LOST, THE (2009)",迷失,惊悚,立体声,1:34:17,2009,西班牙
538,GONE ('06),迷失方向,惊悚,环绕声，多声道,1:24:04,2006,美国
539,SECRET WINDOW,秘密窗,剧情,立体声,1:35:48,2004,美国
540,By the People: The Election of Barack Obama,民心所向：奥巴马,纪录片,立体声,1:55:37,2010,美国
541,Employee of the Month,明星雇员,喜剧,,2:00:00,2006,美国
542,MISS PETTIGREW LIVES FOR A DAY,明星助理,喜剧,环绕声，多声道,1:27:41,2008,美国
543,THE ADJUSTMENT BUREAU,命运规划局,悬疑,环绕声，多声道,1:41:13,2010,美国
544,ROLE MODELS,模范贱兄弟,喜剧,环绕声，多声道,1:34:28,2008,美国
545,NANNY MCPHEE,魔法保姆麦克菲,奇幻,立体声,1:30:25,2006,美国
546,NANNY MCPHEE RETURNS,魔法保姆麦克菲2,奇幻,环绕声，多声道,1:43:55,2010,英国
547,Ella Enchanted,魔法灰姑娘,奇幻,,2:00:00,2004,英国/美国
548,Enchanted,魔法奇缘,歌舞,,2:00:00,2008,美国
549,"MAGICIANS, THE",魔法师,喜剧,环绕声，多声道,1:26:39,2007,美国
550,The Sorcerer's Apprentice,魔法师的学徒,奇幻,,2:00:00,2010,美国
551,Race to Witch Mountain,魔鬼山历脸记,奇幻,,2:00:00,2009,美国
552,SMALL SOLDIERS,魔幻小战士,科幻,立体声,1:44:56,1998,美国
